Metabolite	Highest Level of Rule Breaking Applied	 Trials	Path Length	randPerm calls	randPerm calls w/ skipAdd active	skipAdd calls	skipAdd calls w/ randPerm active	rxns added w/out rand	rxns added w/ randPerm	rxns added w/ skipAdd	rxns added w/ randPerm & skipAdd	total rxns attempted w/out randPerm & skipAdd	total rxns attempted w/ randPerm	total rxns attempted w/ skipAdd	total rxns attempted w/ both randPerm & skipAdd	rxns added in inner loop w/out rand	rxns added in inner loop w/ randPerm	rxns added in inner loop w/ skipAdd	rxns added in inner loop w/ randPerm & skipAdd	total rxns attempted in inner loop w/ out rand	total rxns attempted in inner loop w/ randPerm	total rxns attempted in inner loop w/ skipAdd	total rxns attemped in inner loop w/ randPerm & skipAdd	Previously blocked mets added to solution w/out rand	Previously blocked mets added to solution w/ randPerm	Previously blocked mets added to solution w/ skipAdd	Previously blocked mets added to solution w/ both randPerm & skipAdd	Previously blocked mets (products) added to solution w/ out skipAdd	Previously blocked mets (products) added to solution w/ skipAdd	Previously blocked mets added to solution from inner loop w/out randPerm and skipAdd	Previously blocked mets added to solution from inner loop w/ randPerm	Previously blocked mets added to solution from inner loop w/ skipAdd	Previously blocked mets added to solution from inner loop w/ randPerm and skipAdd	Confidence score of solution	Contribution of outer loop to confidence score of solution	Tot conf score contribution of outer loop	Tot conf score contribution of outer loop (randPerm trials)	Tot conf score contribution of outer loop (skipAdd trials)	Tot conf score contribution of outer loop (randPerm & skipAdd trials)	Total conf score w/out randPerm & skipAdd	Total conf score w/ randPerm	Total conf score w/ skipAdd	Total conf score w/ randPerm & skipAdd	times through inner loop for solution	total times through inner loop	total times through FOR loop of inner loop	times through outer loop for metabolite	randPerm/skipAdd active for final trial	successful/unsuccesful trial
cpd20998[c]	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.888889e-01	0	0	0	0	0	8.888889e-01	0	0	0	0	0	0	1	0	1
cpd00477[c]	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
cpd00869[c]	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
cpd00094[c]	0	2	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.777778e-01	0	0	0	0	0	7.777778e-01	0	0	0	0	0	0	2	0	1
cpd00540[c]	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.444444e-01	0	0	0	0	0	9.444444e-01	0	0	0	0	0	0	1	0	1
cpd02991[d]	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	9.444444e-01	0	0	0	0	0	9.444444e-01	0	0	0	0	0	0	1	0	1
cpd00868[d]	0	2	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.444444e-01	0	0	0	0	0	9.444444e-01	0	0	0	0	0	0	2	0	1
cpd00374[c]	2	999999	1	0	0	1	1	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1
cpd03503[c]	2	999999	1	0	0	1	1	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1
cpd08986[c]	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.444444e-01	0	0	0	0	0	9.444444e-01	0	0	0	0	0	0	1	0	1
cpd03214[d]	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.444444e-01	0	0	0	0	0	9.444444e-01	0	0	0	0	0	0	1	0	1
cpd03566[d]	7	2	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	1	3
cpd00055[x]	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.444444e-01	0	0	0	0	0	9.444444e-01	0	0	0	0	0	0	1	0	1
cpd14935[d]	7	999999	2	0	0	1	3	0	0	1	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	8	2	3
cpd00327[c]	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
