Initial Metabolite	IDs of rxns added	IDs of rxns added from outer loop	IDs of rxns added from inner loop	Tracer symbols of rxns	Tracer Symbols for outer loop rxns	Tracer symbols for inner loop rxns values	Full rxn values	Outer rxn values	Inner rxn values	All rxns looped through in inner loop	Reversibilities	Reversibilities from outer loop	Reversibilities from inner loop	Compounds	Compounds from outer loop	Compounds from inner loop	Trace numbers	Trace numbers from outer loop	Trace numbers from inner loop	Level of rulebreaking applied	skipAdd active?	randPerm active?	Successful/unsuccessful trial	Confidence score result in failure?
cpd11812_mr[c]	(rxn06347_mr[c]*)	(rxn06347_mr[c]*)		[(2)]	[(2)]		(1 cpd00001_mr[c] + 1 cpd11813_mr[c] <=> 1 cpd11812_mr[c])	(1 cpd00001_mr[c] + 1 cpd11813_mr[c] <=> 1 cpd11812_mr[c])			(1)	(1)		(*cpd11812_mr[c]*)(cpd00001_mr[c])(cpd11813_mr[c]*)	(*cpd11812_mr[c]*)(cpd00001_mr[c])(cpd11813_mr[c]*)		(1)	(1)		0	0	0	0	0
cpd11812_mr[c]	(rxn06347_mr[c]*)	(rxn06347_mr[c]*)		[(2)]	[(2)]		(1 cpd00001_mr[c] + 1 cpd11813_mr[c] <=> 1 cpd11812_mr[c])	(1 cpd00001_mr[c] + 1 cpd11813_mr[c] <=> 1 cpd11812_mr[c])			(1)	(1)		(*cpd11812_mr[c]*)(cpd00001_mr[c])(cpd11813_mr[c]*)	(*cpd11812_mr[c]*)(cpd00001_mr[c])(cpd11813_mr[c]*)		(1)	(1)		0	1	1	0	0
cpd11812_mr[c]	(rxn06347_mr[c]*)	(rxn06347_mr[c]*)		[(2)]	[(2)]		(1 cpd00001_mr[c] + 1 cpd11813_mr[c] <=> 1 cpd11812_mr[c])	(1 cpd00001_mr[c] + 1 cpd11813_mr[c] <=> 1 cpd11812_mr[c])			(1)	(1)		(*cpd11812_mr[c]*)(cpd00001_mr[c])(cpd11813_mr[c]*)	(*cpd11812_mr[c]*)(cpd00001_mr[c])(cpd11813_mr[c]*)		(1)	(1)		2	0	0	0	0
cpd11812_mr[c]	(rxn06347_mr[c]*)	(rxn06347_mr[c]*)		[(2)]	[(2)]		(1 cpd00001_mr[c] + 1 cpd11813_mr[c] <=> 1 cpd11812_mr[c])	(1 cpd00001_mr[c] + 1 cpd11813_mr[c] <=> 1 cpd11812_mr[c])			(1)	(1)		(*cpd11812_mr[c]*)(cpd00001_mr[c])(cpd11813_mr[c]*)	(*cpd11812_mr[c]*)(cpd00001_mr[c])(cpd11813_mr[c]*)		(1)	(1)		2	1	1	3	0
cpd00070_mr[x]	(rxn00174_mr[x]*)	(rxn00174_mr[x]*)		[(+)]	[(+)]		(1 cpd00011_mr[x] + 1 cpd00022_mr[x] => 1 cpd00067_mr[x] + 1 cpd00070_mr[x])	(1 cpd00011_mr[x] + 1 cpd00022_mr[x] => 1 cpd00067_mr[x] + 1 cpd00070_mr[x])			(1)	(1)		(cpd00067_mr[x])(*cpd00070_mr[x]*)(cpd00011_mr[x])(cpd00022_mr[x])	(cpd00067_mr[x])(*cpd00070_mr[x]*)(cpd00011_mr[x])(cpd00022_mr[x])		(1)	(1)		0	0	0	1	0
cpd14883_mr[x]	(rxn45123_mr[x]*)(Transport_cx_cpd14884_mr[x]*)(rxn21018_mr[x]*)	(rxn45123_mr[x]*)	(Transport_cx_cpd14884_mr[x]*)(rxn21018_mr[x]*)	[(+)][(T)][(2)]	[(+)]	[(T)][(2)]	(2 cpd00001_mr[x] + 1 cpd14884_mr[x] + 2 cpd27029_mr[x] <=> 1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd14883_mr[x] + 2 cpd27031_mr[x])(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(2 cpd00001_mr[x] + 1 cpd14884_mr[x] + 2 cpd27029_mr[x] <=> 1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd14883_mr[x] + 2 cpd27031_mr[x])	(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(1)(1)(1)	(1)	(1)(1)	(cpd00007_mr[x]*)(cpd00067_mr[x])(*cpd14883_mr[x]*)(cpd27031_mr[x]*)(cpd00001_mr[x])(cpd14884_mr[x]*)(cpd27029_mr[x]*)(cpd14884_mr[x])(cpd00007_mr[x])(cpd00067_mr[x])(cpd00134_mr[x])(cpd27031_mr[x])	(cpd00007_mr[x]*)(cpd00067_mr[x])(*cpd14883_mr[x]*)(cpd27031_mr[x]*)(cpd00001_mr[x])(cpd14884_mr[x]*)(cpd27029_mr[x]*)	(cpd14884_mr[x])(cpd00007_mr[x])(cpd00067_mr[x])(cpd00134_mr[x])(cpd27031_mr[x])	(1)(2)(2)	(1)	(2)(2)	0	0	0	0	0
cpd14883_mr[x]	(rxn45123_mr[x]*)(Transport_cx_cpd14884_mr[x]*)(rxn21018_mr[x]*)	(rxn45123_mr[x]*)	(Transport_cx_cpd14884_mr[x]*)(rxn21018_mr[x]*)	[(+)][(T)][(2)]	[(+)]	[(T)][(2)]	(2 cpd00001_mr[x] + 1 cpd14884_mr[x] + 2 cpd27029_mr[x] <=> 1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd14883_mr[x] + 2 cpd27031_mr[x])(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(2 cpd00001_mr[x] + 1 cpd14884_mr[x] + 2 cpd27029_mr[x] <=> 1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd14883_mr[x] + 2 cpd27031_mr[x])	(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(1)(1)(1)	(1)	(1)(1)	(cpd00007_mr[x]*)(cpd00067_mr[x])(*cpd14883_mr[x]*)(cpd27031_mr[x]*)(cpd00001_mr[x])(cpd14884_mr[x]*)(cpd27029_mr[x]*)(cpd14884_mr[c])(cpd00007_mr[x])(cpd00067_mr[x])(cpd00134_mr[x])(cpd27031_mr[x])	(cpd00007_mr[x]*)(cpd00067_mr[x])(*cpd14883_mr[x]*)(cpd27031_mr[x]*)(cpd00001_mr[x])(cpd14884_mr[x]*)(cpd27029_mr[x]*)	(cpd14884_mr[c])(cpd00007_mr[x])(cpd00067_mr[x])(cpd00134_mr[x])(cpd27031_mr[x])	(1)(2)(2)	(1)	(2)(2)	0	1	1	0	0
cpd14883_mr[x]	(rxn45123_mr[x]*)(Transport_cx_cpd14884_mr[x]*)(rxn21018_mr[x]*)	(rxn45123_mr[x]*)	(Transport_cx_cpd14884_mr[x]*)(rxn21018_mr[x]*)	[(+)][(T)][(2)]	[(+)]	[(T)][(2)]	(2 cpd00001_mr[x] + 1 cpd14884_mr[x] + 2 cpd27029_mr[x] <=> 1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd14883_mr[x] + 2 cpd27031_mr[x])(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(2 cpd00001_mr[x] + 1 cpd14884_mr[x] + 2 cpd27029_mr[x] <=> 1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd14883_mr[x] + 2 cpd27031_mr[x])	(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(1)(1)(1)	(1)	(1)(1)	(cpd00007_mr[x]*)(cpd00067_mr[x])(*cpd14883_mr[x]*)(cpd27031_mr[x]*)(cpd00001_mr[x])(cpd14884_mr[x]*)(cpd27029_mr[x]*)(cpd14884_mr[x])(cpd00007_mr[x])(cpd00067_mr[x])(cpd00134_mr[x])(cpd27031_mr[x])	(cpd00007_mr[x]*)(cpd00067_mr[x])(*cpd14883_mr[x]*)(cpd27031_mr[x]*)(cpd00001_mr[x])(cpd14884_mr[x]*)(cpd27029_mr[x]*)	(cpd14884_mr[x])(cpd00007_mr[x])(cpd00067_mr[x])(cpd00134_mr[x])(cpd27031_mr[x])	(1)(2)(2)	(1)	(2)(2)	2	0	0	0	0
cpd14883_mr[x]	(rxn45123_mr[x]*)(Transport_cx_cpd14884_mr[x]*)(rxn21018_mr[x]*)	(rxn45123_mr[x]*)	(Transport_cx_cpd14884_mr[x]*)(rxn21018_mr[x]*)	[(+)][(T)][(2)]	[(+)]	[(T)][(2)]	(2 cpd00001_mr[x] + 1 cpd14884_mr[x] + 2 cpd27029_mr[x] <=> 1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd14883_mr[x] + 2 cpd27031_mr[x])(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(2 cpd00001_mr[x] + 1 cpd14884_mr[x] + 2 cpd27029_mr[x] <=> 1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd14883_mr[x] + 2 cpd27031_mr[x])	(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(cpd14884_mr[c] <=> cpd14884_mr[x])(1 cpd00007_mr[x] + 2 cpd00067_mr[x] + 1 cpd00134_mr[x] + 2 cpd27031_mr[x] => 2 cpd00001_mr[x] + 1 cpd22622_mr[x] + 2 cpd27029_mr[x])	(1)(1)(1)	(1)	(1)(1)	(cpd00007_mr[x]*)(cpd00067_mr[x])(*cpd14883_mr[x]*)(cpd27031_mr[x]*)(cpd00001_mr[x])(cpd14884_mr[x]*)(cpd27029_mr[x]*)(cpd14884_mr[c])(cpd00007_mr[x])(cpd00067_mr[x])(cpd00134_mr[x])(cpd27031_mr[x])	(cpd00007_mr[x]*)(cpd00067_mr[x])(*cpd14883_mr[x]*)(cpd27031_mr[x]*)(cpd00001_mr[x])(cpd14884_mr[x]*)(cpd27029_mr[x]*)	(cpd14884_mr[c])(cpd00007_mr[x])(cpd00067_mr[x])(cpd00134_mr[x])(cpd27031_mr[x])	(1)(2)(2)	(1)	(2)(2)	2	1	1	3	0
cpd00327_mr[x]	(rxn18905_mr[x]*)(rxn00533_mr[x]*)	(rxn18905_mr[x]*)	(rxn00533_mr[x]*)	[(2)][(+)]	[(2)]	[(+)]	(1 cpd00001_mr[x] + 1 cpd00002_mr[x] + 1 cpd00327_mr[x] => 1 cpd00008_mr[x] + 1 cpd00009_mr[x] + 1 cpd00067_mr[x] + 1 cpd00327_mr[x])(1 cpd00008_mr[x] + 1 cpd00009_mr[x] + 1 cpd00067_mr[x] + 1 cpd00070_mr[x] <=> 1 cpd00002_mr[x] + 1 cpd00022_mr[x] + 1 cpd00242_mr[x])	(1 cpd00001_mr[x] + 1 cpd00002_mr[x] + 1 cpd00327_mr[x] => 1 cpd00008_mr[x] + 1 cpd00009_mr[x] + 1 cpd00067_mr[x] + 1 cpd00327_mr[x])	(1 cpd00008_mr[x] + 1 cpd00009_mr[x] + 1 cpd00067_mr[x] + 1 cpd00070_mr[x] <=> 1 cpd00002_mr[x] + 1 cpd00022_mr[x] + 1 cpd00242_mr[x])	(1 cpd00002_mr[x] + 1 cpd00008_mr[x] <=> 1 cpd00002_mr[x] + 1 cpd00008_mr[x])(2 cpd00008_mr[x] <=> 1 cpd00002_mr[x] + 1 cpd00018_mr[x] + 1 cpd00067_mr[x])(1 cpd00008_mr[x] + 1 cpd00009_mr[x] + 1 cpd00067_mr[x] + 1 cpd00070_mr[x] <=> 1 cpd00002_mr[x] + 1 cpd00022_mr[x] + 1 cpd00242_mr[x])(cpd00002_mr[x] + cpd00001_mr[x] <=> cpd00327_mr[x] + cpd00005_mr[x] + cpd00009_mr[x] + cpd00067_mr[x])	(0)(1)	(0)	(1)	(cpd00008_mr[x]*)(cpd00009_mr[x]*)(cpd00067_mr[x])(*cpd00327_mr[x]*)(cpd00001_mr[x])(cpd00002_mr[x]*)(cpd00327_mr[x]*)(cpd00008_mr[x])(cpd00009_mr[x])(cpd00067_mr[x])(cpd00070_mr[x])	(cpd00008_mr[x]*)(cpd00009_mr[x]*)(cpd00067_mr[x])(*cpd00327_mr[x]*)(cpd00001_mr[x])(cpd00002_mr[x]*)(cpd00327_mr[x]*)	(cpd00008_mr[x])(cpd00009_mr[x])(cpd00067_mr[x])(cpd00070_mr[x])	(1)(2)	(1)	(2)	0	0	0	0	0
