Initial Metabolite	IDs of rxns added	IDs of rxns added from outer loop	IDs of rxns added from inner loop	Tracer symbols of rxns	Tracer Symbols for outer loop rxns	Tracer symbols for inner loop rxns values	Full rxn values	Outer rxn values	Inner rxn values	All rxns looped through in inner loop	Reversibilities	Reversibilities from outer loop	Reversibilities from inner loop	Compounds	Compounds from outer loop	Compounds from inner loop	Trace numbers	Trace numbers from outer loop	Trace numbers from inner loop	Level of rulebreaking applied	skipAdd active?	randPerm active?	Successful/unsuccessful trial	Confidence score result in failure?
cpd20998[c]	(rxn16467[c]*)	(rxn16467[c]*)		[(7)]	[(7)]		(1 cpd17117[c] => 1 cpd20998[c])	(1 cpd17117[c] => 1 cpd20998[c])			(1)	(1)		(*cpd20998[c]*)(cpd17117[c])	(*cpd20998[c]*)(cpd17117[c])		(1)	(1)		0	0	0	1	0
cpd00477[c]																				0	0	0	3	0
cpd00869[c]	(rxn05092[c]*)	(rxn05092[c]*)		[(9)]	[(9)]		(1 cpd00007[c] + 1 cpd11255[c] => 1 cpd00047[c] + 2 cpd00067[c] + 1 cpd00869[c])	(1 cpd00007[c] + 1 cpd11255[c] => 1 cpd00047[c] + 2 cpd00067[c] + 1 cpd00869[c])			(0)	(0)		(cpd00047[c])(cpd00067[c])(*cpd00869[c]*)(cpd00007[c])(cpd11255[c])	(cpd00047[c])(cpd00067[c])(*cpd00869[c]*)(cpd00007[c])(cpd11255[c])		(1)	(1)		0	0	0	1	0
cpd00094[c]	(rxn43798[c]*)	(rxn43798[c]*)		[(8)]	[(8)]		(1 cpd00001[c] + 1 cpd33054[c] <=> 1 cpd00094[c] + 1 cpd19013[c])	(1 cpd00001[c] + 1 cpd33054[c] <=> 1 cpd00094[c] + 1 cpd19013[c])			(1)	(1)		(*cpd00094[c]*)(cpd19013[c])(cpd00001[c])(cpd33054[c])	(*cpd00094[c]*)(cpd19013[c])(cpd00001[c])(cpd33054[c])		(1)	(1)		0	0	0	0	1
cpd00094[c]	(rxn44575[c]*)	(rxn44575[c]*)		[(5)]	[(5)]		(1 cpd00001[c] + 1 cpd19019[c] <=> 1 cpd00084[c] + 1 cpd00094[c] + 1 cpd19013[c])	(1 cpd00001[c] + 1 cpd19019[c] <=> 1 cpd00084[c] + 1 cpd00094[c] + 1 cpd19013[c])			(1)	(1)		(cpd00084[c])(*cpd00094[c]*)(cpd19013[c])(cpd00001[c])(cpd19019[c])	(cpd00084[c])(*cpd00094[c]*)(cpd19013[c])(cpd00001[c])(cpd19019[c])		(1)	(1)		0	0	0	1	0
cpd00540[c]	(rxn23649[c]*)	(rxn23649[c]*)		[(8)]	[(8)]		(2 cpd00017[c] + 1 cpd00183[c] <=> 2 cpd00019[c] + 2 cpd00067[c] + 1 cpd00540[c])	(2 cpd00017[c] + 1 cpd00183[c] <=> 2 cpd00019[c] + 2 cpd00067[c] + 1 cpd00540[c])			(1)	(1)		(cpd00019[c])(cpd00067[c])(*cpd00540[c]*)(cpd00017[c])(cpd00183[c])	(cpd00019[c])(cpd00067[c])(*cpd00540[c]*)(cpd00017[c])(cpd00183[c])		(1)	(1)		0	0	0	1	0
cpd02991[d]	(rxn47493[d]*)	(rxn47493[d]*)		[(8)]	[(8)]		(1 cpd00001[d] + 1 cpd00067[d] + 1 cpd02843[d] + 1 cpd02851[d] <=> 1 cpd02991[d] + 1 cpd19013[d])	(1 cpd00001[d] + 1 cpd00067[d] + 1 cpd02843[d] + 1 cpd02851[d] <=> 1 cpd02991[d] + 1 cpd19013[d])			(1)	(1)		(*cpd02991[d]*)(cpd19013[d]*)(cpd00001[d])(cpd00067[d])(cpd02843[d])(cpd02851[d])	(*cpd02991[d]*)(cpd19013[d]*)(cpd00001[d])(cpd00067[d])(cpd02843[d])(cpd02851[d])		(1)	(1)		0	0	0	1	0
cpd00868[d]	(rxn01269[d]*)	(rxn01269[d]*)		[(8)]	[(8)]		(1 cpd00006[d] + 1 cpd00219[d] => 1 cpd00005[d] + 1 cpd00011[d] + 1 cpd00868[d])	(1 cpd00006[d] + 1 cpd00219[d] => 1 cpd00005[d] + 1 cpd00011[d] + 1 cpd00868[d])			(0)	(0)		(cpd00005[d])(cpd00011[d])(*cpd00868[d]*)(cpd00006[d])(cpd00219[d])	(cpd00005[d])(cpd00011[d])(*cpd00868[d]*)(cpd00006[d])(cpd00219[d])		(1)	(1)		0	0	0	0	1
cpd00868[d]	(rxn02396[d]*)	(rxn02396[d]*)		[(8)]	[(8)]		(1 cpd00011[d] + 1 cpd02361[d] => 1 cpd00067[d] + 1 cpd00868[d])	(1 cpd00011[d] + 1 cpd02361[d] => 1 cpd00067[d] + 1 cpd00868[d])			(1)	(1)		(cpd00067[d])(*cpd00868[d]*)(cpd00011[d])(cpd02361[d])	(cpd00067[d])(*cpd00868[d]*)(cpd00011[d])(cpd02361[d])		(1)	(1)		0	0	0	1	0
cpd00374[c]	(rxn24117[c]*)	(rxn24117[c]*)		[(6)]	[(6)]		(1 cpd02361[c] => 1 cpd00374[c])	(1 cpd02361[c] => 1 cpd00374[c])			(1)	(1)		(*cpd00374[c]*)(cpd02361[c])	(*cpd00374[c]*)(cpd02361[c])		(1)	(1)		0	0	0	0	1
